('﻿ilkid', 'firstname', 'lastname', year, 'team', gp, minutes, pts, dreb, oreb, reb, asts, stl, blk, turnover),
('ARMSTPA01 ', 'Paul', 'Armstrong', 1949, 'FTW', 3, 0, 9, 0, 0, 0, 6, 0, 0, 0),
('BARKECL01 ', 'Cliff', 'Barker', 1949, 'INI', 6, 0, 34, 0, 0, 0, 13, 0, 0, 0),
('BARNHLE01 ', 'Leo', 'Barnhorst', 1949, 'CH1', 2, 0, 22, 0, 0, 0, 4, 0, 0, 0),
('BEARDRA01 ', 'Ralph', 'Beard', 1949, 'INI', 5, 0, 66, 0, 0, 0, 22, 0, 0, 0),
('BLACKCH01 ', 'Charlie', 'Black', 1949, 'AND', 8, 0, 57, 0, 0, 0, 17, 0, 0, 0),
('BOBBNE01  ', 'Nelson', 'Bobb', 1949, 'PH1', 2, 0, 2, 0, 0, 0, 1, 0, 0, 0),
('BORNHJA01 ', 'Jake', 'Bornheimer', 1949, 'PH1', 2, 0, 2, 0, 0, 0, 0, 0, 0, 0),
('BORYLVI01 ', 'Vince', 'Boryla', 1949, 'NYK', 5, 0, 75, 0, 0, 0, 7, 0, 0, 0),
('BRANNBO01 ', 'Bob', 'Brannum', 1949, 'SHE', 3, 0, 43, 0, 0, 0, 11, 0, 0, 0),
('BRAUNCA01 ', 'Carl', 'Braun', 1949, 'NYK', 5, 0, 85, 0, 0, 0, 19, 0, 0, 0),
('BRIANFR01 ', 'Frank', 'Brian', 1949, 'AND', 8, 0, 95, 0, 0, 0, 19, 0, 0, 0),
('BURMAJA01 ', 'Jack', 'Burmaster', 1949, 'SHE', 3, 0, 36, 0, 0, 0, 8, 0, 0, 0),
('CARPEBO01 ', 'Bob', 'Carpenter', 1949, 'FTW', 4, 0, 32, 0, 0, 0, 2, 0, 0, 0),
('CARTEJA01 ', 'Jake', 'Carter', 1949, 'AND', 8, 0, 10, 0, 0, 0, 3, 0, 0, 0),
('CERVIAL01 ', 'Al', 'Cervi', 1949, 'SYR', 11, 0, 84, 0, 0, 0, 52, 0, 0, 0),
('CHOLLLE01 ', 'Leroy', 'Chollet', 1949, 'SYR', 8, 0, 19, 0, 0, 0, 4, 0, 0, 0),
('CLOSSBI01 ', 'Bill', 'Closs', 1949, 'AND', 8, 0, 91, 0, 0, 0, 14, 0, 0, 0),
('COLEMJA01 ', 'Jack', 'Coleman', 1949, 'ROC', 2, 0, 15, 0, 0, 0, 4, 0, 0, 0),
('COOKBO01  ', 'Bobby', 'Cook', 1949, 'SHE', 3, 0, 9, 0, 0, 0, 6, 0, 0, 0),
('CORLERA01 ', 'Ray', 'Corley', 1949, 'SYR', 6, 0, 17, 0, 0, 0, 10, 0, 0, 0),
('CROSSFR01 ', 'Francis', 'Crossin', 1949, 'PH1', 2, 0, 26, 0, 0, 0, 4, 0, 0, 0),
('CURRAFR01 ', 'Fran', 'Curran', 1949, 'ROC', 2, 0, 5, 0, 0, 0, 0, 0, 0, 0),
('DAVIEBO01 ', 'Bob', 'Davies', 1949, 'ROC', 2, 0, 15, 0, 0, 0, 9, 0, 0, 0),
('DILLOJO01 ', 'John', 'Dillon', 1949, 'WSC', 1, 0, 4, 0, 0, 0, 0, 0, 0, 0),
('DONOVHA01 ', 'Harry', 'Donovan', 1949, 'NYK', 3, 0, 2, 0, 0, 0, 0, 0, 0, 0),
('DUNCAAN01 ', 'Andy', 'Duncan', 1949, 'ROC', 2, 0, 6, 0, 0, 0, 1, 0, 0, 0),
